"point","date","mesure","detectionLimit","x","y"
"point431",2011-09-26,15,15,2294.49800000002,6633.55599999987
"point405",2011-09-26,14,14,1854.18900000001,6406.90000000037
"point414",2011-09-26,337,337,2696.35200000001,6247.67100000009
"point434",2011-09-26,19,19,2771.31699999998,6226.62399999984
"point437",2011-09-26,0.699999988079071,0.699999988079071,2911.19900000002,6345.375
"point475",2011-09-26,94,94,2503.462,6702.12799999956
"point378",2011-09-26,44,44,2188.56099999999,6492.65899999999
"point359",2011-09-26,0,0.100000001490116,2200.092,5679.16399999987
"point365",2011-09-26,0,0.100000001490116,2510.326,6589.83499999996
"point077",2011-09-27,1.39999997615814,1.39999997615814,2462.78100000002,5626.23500000034
"point403",2011-09-27,42,42,1840.77100000001,6761.69000000041
"point469",2011-09-27,78,78,2427.74800000002,6644.97800000012
"point010",2011-09-27,0.899999976158142,0.899999976158142,3081.57900000003,6061.44400000013
"point376",2011-09-27,9.10000038146973,9.10000038146973,1839.20500000002,6760.95199999958
"point381",2011-09-27,90,90,2000.38500000001,6842.10500000045
"point056",2011-09-28,0,0.100000001490116,1360.55300000001,6496.26400000043
"point073",2011-09-28,17,17,2434.31099999999,5702.31900000013
"point694",2011-09-28,228,228,2547.30800000002,6028.7089999998
"point286",2011-09-28,3.20000004768372,3.20000004768372,2579.57699999999,5760.66500000004
"point451",2011-09-28,0.300000011920929,0.300000011920929,2684.45600000001,5666.40500000026
"point411",2011-09-28,17,17,2475.46399999998,5710.47499999963
"point415",2011-09-28,3.09999990463257,3.09999990463257,2559.72100000002,5912.10500000045
"point417",2011-09-28,53,53,2536.33100000001,5986.01300000027
"point450",2011-09-28,2.20000004768372,2.20000004768372,2203.31,5679.26499999966
"point015",2011-09-28,8.69999980926514,8.69999980926514,2324.39299999998,5600.49799999967
"point380",2011-09-28,103,103,2078.55699999997,6699.4040000001
"point275",2011-09-29,302,302,2691.98599999998,6067.36500000022
"point277",2011-09-29,0.300000011920929,0.300000011920929,2942.69699999999,5882.62100000028
