"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point413",2014-02-01,0,2765.34700000001,5844.01300000027,0,0,NA,820.763959301187,794.567203729883,NA,817.159806786328,790.818214993419,NA,710.903519020032,533.599914156731
"point495",2014-02-01,0,2444.83299999998,6693.47400000039,0,0,NA,508.186819474192,447.886480719199,NA,272.63215395436,400.258294338385,NA,85.00700163072,57.2028470689146
"point417",2014-02-01,0,2536.33100000001,5986.01300000027,1153.45579945623,983.389397452814,NA,1218.43545928866,1353.39767936652,NA,0,0,NA,0,0
"point008",2014-02-01,0,1564.97499999998,5652.84999999963,0,0,NA,0,0,NA,192.532136099722,180.478600991386,NA,175.261172588537,143.254419352466
"point418",2014-02-01,0,2276.08600000001,6323.06799999997,268.561731500572,222.966237796577,NA,286.973005333638,233.503555761964,NA,0,0,NA,236.556830844925,197.748229533568
"point355",2014-02-01,0,1868.21799999999,6214.45799999963,0,0,NA,0,0,NA,293.58539017965,292.634013486981,NA,0,0
"point445",2014-02-01,0,1598.28600000002,6175.49299999978,132.702322961452,105.088139981958,NA,74.0879420049482,45.1758802229305,NA,0,0,NA,86.479692385502,55.6852407206108
"point457",2014-02-01,0,1681.212,5622.21100000013,175.261172588537,143.254419352466,NA,239.881503683309,254.721345988084,NA,0,0,NA,192.532136099722,180.478600991386
"point404",2014-02-01,0,2672.44500000001,5353.78100000042,131.425913566293,112.041164176728,NA,0,0,NA,0,0,NA,415.255453114409,408.899603653314
"point452",2014-02-01,0,1803.18699999998,6161.82799999975,0,0,NA,0,0,NA,293.58539017965,292.634013486981,NA,0,0
"point362",2014-02-01,0,2303.97899999999,7162.43300000019,324.657182712968,273.528515727682,NA,0,0,NA,0,0,NA,283.623671987233,222.71310568625
"point365",2014-02-01,0,2510.326,6589.83499999996,0,0,NA,0,0,NA,508.186819474192,447.886480719199,NA,351.707328153756,308.366708917841
"point364",2014-02-01,0,1327.12800000003,8786.62700000033,0,0,NA,0,0,NA,144.503497587072,112.895382323655,NA,0,0
"point461",2014-02-01,0,1987.56099999999,6450.89699999988,37.1704705737793,37.705691519657,NA,0,0,NA,0,0,NA,401.12236339918,370.021361196313
"point015",2014-02-01,0,2324.39299999998,5600.49799999967,0,0,NA,0,0,NA,307.629279291876,250.207478067324,NA,269.460661781389,208.462604717709
